objectid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
ushmm026,1943.10.16-173-1_Himmler_Heissmeyer.png,,Letter to Himmler from Heissmeyer,Heissmeyer,16/10/1943,Heissmeyer wanting some other place to continue his school,,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1943.10.16-173-1_Himmler_Heissmeyer,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm027,1943.11.14-173-1_Ihlefeld_Berg.png,,Letter to Ihlefeld from Berg,Berg,14/11/1943,A barrack will be built in Napola Ihlfeld,Napola Ihlfeld,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1943.11.14-173-1_Ihlefeld_Berg,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm028,1943.11.15--1_Hirt_Haagen-COPY.png,,Letter to Hirt from Haagen,Haagen,15/11/1943,Haagen requesting 100 prisoners between 20-40 years old in good health. Past experience with prisoners and health.,Anatomische Institut der Reichsuniversitaet,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1943.11.15--1_Hirt_Haagen-COPY,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm029,1943.11.15--2_Hirt_Haagen-COPY.png,,Letter to Hirt from Haagen,Haagen,15/11/1943,Haagen requesting 100 prisoners between 20-40 years old in good health. Past experience with prisoners and health.,Anatomische Institut der Reichsuniversitaet,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1943.11.15--2_Hirt_Haagen-COPY,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm030,1943.12.03-108-1_Brandt_Kammler-Telegraph.png,,Letter to Brandt from Kammler,Kammler,03/12/1943,Kammler requesting more info regarding project Kalk being renamed to Zement,,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1943.12.03-108-1_Brandt_Kammler-Telegraph,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm031,1943.12.04-411-1_Grothmann_Kammler.png,,Letter to Grothmann from Kammler,Kammler,04/12/1943,Only the Waffen-SS could get the work done at Mittelwerk in such short time,,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1943.12.04-411-1_Grothmann_Kammler,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm032,1943.12.04-412-1_Bragadeführer_Brandt.png,,Letter to Bragadeführer from Brandt,Brandt,04/12/1943,Mittelwerk accommodations come from a recommendation of Reichsfuehrer-SS,"Besprechung Reichsminister Prof. Speer, Dipl. Ing. Saur, SS-Brigaf. Dr. Kammler. Bezug: Dort. FS. v. 4.12.1943 – Tgb. Nr. 412/a/43",,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1943.12.04-412-1_Bragadeführer_Brandt,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm033,1943.12.04-412-1_Brand_Kammler.png,,Letter to Brand from Kammler,Kammler,04/12/1943,"Speer approves of changes proposed by Kammler. Speer to visit Mittelwerk on December 9, 1943.",,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1943.12.04-412-1_Brand_Kammler,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm034,1943.12.14-29-1_Bartels_Brandt.png,,Letter to Bartels from Brandt,Brandt,14/12/1943,"Bartels to ask Gauleiter Jordan to speak in a few days. Rooms will need to be used for intended purposes during the war, but start thinking about what they can be used for afterwards. Share with Reichsfuehrer-SS the consultation you had with Gauleiter Jordan",,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1943.12.14-29-1_Bartels_Brandt,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm035,1943.12.14-42-1_Brandt_Kammler.png,,Letter to Brandt from Kammler,Kammler,14/12/1943,"Kammler to Brandt, Mittelwerk is ready to go","Besprechung Reichsminister Prof. Speer, Dipl. Ing. Saur, SS-Brigaf. Dr. Kammler. Bezug: Dort. FS. vom 10.12.1943 Nr. 631",,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1943.12.14-42-1_Brandt_Kammler,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm036,1943.12.14-42-2_Brandt_Kammler.png,,Letter to Brandt from Kammler,Kammler,14/12/1943,,,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1943.12.14-42-2_Brandt_Kammler,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm037,1943.12.14-43-1_Brandt_Kammler.png,,Letter to Brandt from Kammler,Kammler,14/12/1943,"Speer visited Mittelwerk on December 10, 1943. Speer recognized Waffen-SS as unique organization with special powers.",,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1943.12.14-43-1_Brandt_Kammler,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm038,1943.12.xx-29_Jordan_From-Unsigned.png,,Letter to Jordan from From,Creator Unkown,12/1943,"Quedlinburg, Jordan to speak with Bartels to plan his upcoming visit",,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1943.12.xx-29_Jordan_From-Unsigned,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm039,1943.12.xx-29_Jordan_From.png,,Letter to Jordan from From,Creator Unkown,12/1943,Duplicate,,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1943.12.xx-29_Jordan_From,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm040,1944.01.05-29-1_Himmler_Selig.png,,Letter to Himmler from Selig,Selig,05/01/1944,Selig reminding Himmler about previous contact and decisions about Quedlinburg,,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1944.01.05-29-1_Himmler_Selig,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm041,1944.01.19-1359-1_Himmler_Pohl.png,,Letter to Himmler from Pohl,Pohl,19/01/1944,"Pohl updating Himmler about the production of Me 109 at Flossenbuerg. Produce almost all of the airplane, except for motor and tail. Uses 1,500 prisoners working two shifts of 11 hours each. Started on Feb. 5, 1943 with 200 prisoners",,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1944.01.19-1359-1_Himmler_Pohl,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm042,1944.01.19-1359-2_Himmler_Pohl.png,,Letter to Himmler from Pohl,Pohl,19/01/1944,"Pohl updating Himmler about the production of Me 109 at Flossenbuerg. Produce almost all of the airplane, except for motor and tail. Uses 1,500 prisoners working two shifts of 11 hours each. Started on Feb. 5, 1943 with 200 prisoners. Page 2",,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1944.01.19-1359-2_Himmler_Pohl,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm043,1944.01.28-2134-1_Brandt_Kammler.png,,Letter to Brandt from Kammler,Kammler,28/01/1944,Telegram from Kammler to Brandt about photos available from the project at Schlier.,Fotos von Bauvorhaben Schlier (Pruefanlage),,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1944.01.28-2134-1_Brandt_Kammler,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm044,1944.01.28-2134-2_Brandt_Kammler.png,,Letter to Brandt from Kammler,Kammler,28/01/1944,Telegram from Kammler to Brandt about photos available from the project at Schlier. Page 2,Fotos von Bauvorhaben Schlier (Pruefanlage),,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1944.01.28-2134-2_Brandt_Kammler,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm045,1944.02.02-38-1_Pohl_Brandt.png,,Letter to Pohl from Brandt,Brandt,02/02/1944,Brandt requesting a diagram of,Fertigung des Jaegers Me 109 G,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1944.02.02-38-1_Pohl_Brandt,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm046,1944.02.02-43-1_Kammler_Bischoff.png,,Letter to Kammler from Bischoff,Bischoff,02/02/1944,Secret and top secret documents found in unlocked suitcase and drawers of Engineer Fritz Schweinberger.,Schwerste Gefaehrdung der Geheimhaltungsbestimmung infolge nicht lagermaessiger Unterbringung deutscher Fuehrungskraefte im MW.,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1944.02.02-43-1_Kammler_Bischoff,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm047,1944.02.02-43-2_Kammler_Bischoff.png,,Letter to Kammler from Bischoff,Bischoff,02/02/1944,Secret and top secret documents found in unlocked suitcase and drawers of Engineer Fritz Schweinberger. Dissertation including this incident: http://drum.lib.umd.edu/bitstream/1903/2861/1/umi-umd-2357.pdf,,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1944.02.02-43-2_Kammler_Bischoff,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm048,1944.02.02-3815-1_Kammler_Brandt.png,,Letter to Kammler from Brandt,Brandt,02/02/1944,"Brandt telling Kammler to wait and show the pictures to Eingruber next time goes to see him. Then Brandt tells Kammler to give a little more effort to be amiable and kind to everyone around him, so that the efforts of the past 23 hours and 55 minutes are not ruined in the last 5 minutes. (Could be some sort of secret code? Or else Kammler really just getting a lesson in being nice/productive.) See item 1944.01.28-2134-1+Brandt_Kammler for Kammler's original telegram.",Fotos von Bauvorhaben Schlier (Pruefanlage),,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1944.02.02-3815-1_Kammler_Brandt,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm049,1944.02.02-3815-2_Kammler_Brandt.png,,Letter to Kammler from Brandt,Brandt,02/02/1944,"Brandt telling Kammler to wait and show the pictures to Eingruber next time goes to see him. Then Brandt tells Kammler to give a little more effort to be amiable and kind to everyone around him, so that the efforts of the past 23 hours and 55 minutes are not ruined in the last 5 minutes. (Could be some sort of secret code? Or else Kammler really just getting a lesson in being nice/productive.) See item 1944.01.28-2134-1+Brandt_Kammler for Kammler's original telegram.",Fotos von Bauvorhaben Schlier (Pruefanlage),,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1944.02.02-3815-2_Kammler_Brandt,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm050,1944.02.03-230-1_Himmler_Pohl.png,,Letter to Himmler from Pohl,Pohl,03/02/1944,"Work on the Heckleitwerkes Me 109, which has been done in Butschowitz and Prag, is now being done by Messerschmit Akt.Ges. ",,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1944.02.03-230-1_Himmler_Pohl,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm051,1944.02.03-230-2_Himmler_Pohl.png,,Letter to Himmler from Pohl,Pohl,03/02/1944,"Work on the Heckleitwerkes Me 109, which has been done in Butschowitz and Prag, is now being done by Messerschmit Akt.Ges. ",,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1944.02.03-230-2_Himmler_Pohl,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm052,1944.02.05-252-1_Brandt_Kammler.png,,Letter to Brandt from Kammler,Kammler,05/02/1944,"Kammler letting Brandt know about a report from Bischoff about problems at A4, Mittelwerk. They need more German laborers.",,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1944.02.05-252-1_Brandt_Kammler,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm053,1944.02.18--1_Pohl_Himmler-English.png,,Letter to Pohl from Himmler,Himmler,18/02/1944,English,Himmler sending Pohl a telegram asking about progress of airplane production and moving factories underground because Goering wants to know.,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1944.02.18--1_Pohl_Himmler-English,,,English,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm054,1944.02.18--1_Pohl_Himmler.png,,Letter to Pohl from Himmler,Himmler,18/02/1944,Himmler sending Pohl a telegram asking about progress of airplane production and moving factories underground because Goering wants to know.,,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1944.02.18--1_Pohl_Himmler,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm055,1944.02.18-391-1_Reichsmarschall_Himmler.png,,Letter to Goering from Himmler,Himmler,18/02/1944,Himmler letting Goering know he received the telegram and that they will put all possible effort into moving factories underground and production of aircraft.,,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1944.02.18-391-1_Reichsmarschall_Himmler,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm056,1944.02.19-312-1_Brandt_Kammler.png,,Letter to Brandt from Kammler,Kammler,19/02/1944,Kammler sending the telegram from Goering to Brandt.,,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1944.02.19-312-1_Brandt_Kammler,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm057,1944.02.21--18_To_Pohl-Chart.png,,Letter to To from Pohl,Pohl,21/02/1944,"Chart showing how many prisoners were planned on, actually used, hours worked, and what they worked on and where. Planned on using 90,785 prisoners. Actually used 35,839 for a total of 8,733,495 hours of work for January",Haeftlingseinsatz fuer Zwecke der Luftfahrtindustrie,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1944.02.21--18_To_Pohl-Chart,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm058,1944.02.21--19_To_Pohl-Chart.png,,Letter to To from Pohl,Pohl,21/02/1944,"Chart showing how many prisoners were planned on, actually used, hours worked, and what they worked on and where. Planned on using 90,785 prisoners. Actually used 35,839 for a total of 8,733,495 hours of work for January",Haeftlingseinsatz fuer Zwecke der Luftfahrtindustrie,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1944.02.21--19_To_Pohl-Chart,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
ushmm059,1944.02.21--20_To_Pohl-Chart.png,,Letter to To from Pohl,Pohl,21/02/1944,"Chart showing how many prisoners were planned on, actually used, hours worked, and what they worked on and where. Planned on using 90,785 prisoners. Actually used 35,839 for a total of 8,733,495 hours of work for January",Haeftlingseinsatz fuer Zwecke der Luftfahrtindustrie,,,,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",1944.02.21--20_To_Pohl-Chart,,,German,"From the Samuel and Irene Goudsmit collection, courtesy of the U.S. Holocaust Memorial Museum, Washington, DC",
